TradeID,Product,Delivery Start,Delivery End,isOTC,Execution time,Side,Market area,is Half Trade,Is Self Trade,Price,Currency,Quantity (MW)
1134872991,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.341Z,BUY,NL,N,N,38.28,EUR,5.0
1134872992,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.341Z,BUY,NL,N,N,38.28,EUR,1.0
1134872993,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.341Z,BUY,NL,N,N,38.29,EUR,2.0
1134872994,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.341Z,BUY,NL,N,N,38.40,EUR,2.0
1134872995,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.341Z,BUY,NL,N,N,38.43,EUR,0.2
1134872996,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.341Z,BUY,NL,Y,U,38.74,EUR,0.1
1134872997,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.341Z,BUY,NL,N,N,38.90,EUR,0.4
1134872998,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.341Z,BUY,NL,Y,U,38.99,EUR,2.0
1134872999,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.341Z,BUY,NL,Y,U,39.00,EUR,10.0
1134873000,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T230016.437Z,BUY,NL,N,N,39.00,EUR,0.1
1134873079,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230046.407Z,BUY,NL,N,N,34.99,EUR,0.2
1134873080,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230046.407Z,BUY,NL,Y,U,35.00,EUR,2.8
1134873081,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230046.407Z,BUY,NL,N,N,35.00,EUR,0.1
1134873082,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230046.407Z,BUY,NL,N,N,35.00,EUR,0.2
1134873090,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230058.183Z,BUY,NL,N,N,35.00,EUR,1.0
1134873091,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230100.138Z,BUY,NL,Y,U,35.00,EUR,10.6
1134873105,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230100.738Z,BUY,NL,Y,U,34.55,EUR,5.0
1134873107,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230101.008Z,BUY,NL,Y,U,35.00,EUR,14.9
1134873108,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230101.483Z,BUY,NL,Y,U,35.00,EUR,5.1
1134873223,XBID_Hour_Power,20201031T010000Z,20201031T020000Z,N,20201030T230303.839Z,BUY,NL,N,N,36.20,EUR,4.0
1134873224,XBID_Hour_Power,20201031T010000Z,20201031T020000Z,N,20201030T230303.839Z,BUY,NL,N,N,36.21,EUR,0.4
1134873225,XBID_Hour_Power,20201031T010000Z,20201031T020000Z,N,20201030T230303.839Z,BUY,NL,N,N,36.24,EUR,0.7
1134873326,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T230514.603Z,BUY,NL,Y,U,36.86,EUR,5.0
1134873736,XBID_Hour_Power,20201031T010000Z,20201031T020000Z,N,20201030T230812.776Z,BUY,NL,N,N,36.39,EUR,4.0
1134873737,XBID_Hour_Power,20201031T010000Z,20201031T020000Z,N,20201030T230812.776Z,BUY,NL,N,N,36.41,EUR,1.0
1134873816,XBID_Hour_Power,20201031T010000Z,20201031T020000Z,N,20201030T230842.469Z,BUY,NL,N,N,36.64,EUR,1.6
1134873824,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T230843.461Z,SELL,NL,N,N,36.00,EUR,12.0
1134874022,XBID_Hour_Power,20201031T040000Z,20201031T050000Z,N,20201030T230937.151Z,SELL,NL,N,N,33.49,EUR,0.1
1134874035,XBID_Hour_Power,20201031T040000Z,20201031T050000Z,N,20201030T230937.788Z,SELL,NL,N,N,33.49,EUR,4.9
1134874043,XBID_Hour_Power,20201031T010000Z,20201031T020000Z,N,20201030T230939.523Z,BUY,NL,N,N,37.10,EUR,2.6
1134874048,XBID_Hour_Power,20201031T040000Z,20201031T050000Z,N,20201030T230943.054Z,SELL,NL,N,N,33.49,EUR,0.4
1134874070,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T230945.489Z,BUY,NL,N,N,36.70,EUR,2.0
1134874076,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T230946.450Z,BUY,NL,N,N,36.79,EUR,2.0
1134874076,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T230946.450Z,SELL,NL,N,N,36.79,EUR,2.0
1134874077,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T230947.300Z,BUY,NL,N,N,36.80,EUR,2.0
1134874080,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T230948.147Z,BUY,NL,N,N,36.90,EUR,0.4
1134874081,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T230948.845Z,BUY,NL,N,N,37.11,EUR,5.0
1134874137,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231000.557Z,BUY,NL,N,N,36.90,EUR,0.2
1134874150,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231003.531Z,BUY,NL,N,N,37.05,EUR,5.0
1134874151,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231004.444Z,BUY,NL,N,N,37.05,EUR,1.0
1134874152,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231004.707Z,BUY,NL,N,N,36.90,EUR,0.2
1134874206,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231018.502Z,BUY,NL,N,N,36.51,EUR,3.6
1134874274,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231040.986Z,SELL,NL,N,N,37.09,EUR,2.0
1134874288,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231046.242Z,SELL,NL,N,N,37.10,EUR,2.0
1134874289,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231046.794Z,BUY,NL,Y,U,36.63,EUR,5.0
1134874333,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T231101.211Z,SELL,NL,N,N,37.79,EUR,2.0
1134874377,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231119.142Z,SELL,NL,Y,U,37.00,EUR,1.4
1134874378,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231119.142Z,SELL,NL,Y,U,37.00,EUR,5.0
1134874379,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231119.142Z,SELL,NL,Y,U,37.00,EUR,5.0
1134874380,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231119.142Z,SELL,NL,Y,U,37.00,EUR,0.6
1134874403,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231122.464Z,BUY,NL,N,N,37.01,EUR,1.4
1134874420,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231136.775Z,BUY,NL,N,N,37.02,EUR,2.0
1134874616,XBID_Hour_Power,20201031T030000Z,20201031T040000Z,N,20201030T231231.803Z,BUY,NL,Y,U,35.11,EUR,4.0
1134874625,XBID_Hour_Power,20201031T030000Z,20201031T040000Z,N,20201030T231235.431Z,BUY,NL,Y,U,35.11,EUR,4.0
1134874642,XBID_Hour_Power,20201031T030000Z,20201031T040000Z,N,20201030T231239.523Z,BUY,NL,Y,U,35.11,EUR,2.0
1134874682,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231308.056Z,SELL,NL,N,N,37.14,EUR,5.0
1134874716,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231345.285Z,SELL,NL,N,N,37.25,EUR,3.1
1134874742,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T231352.424Z,SELL,NL,N,N,37.99,EUR,1.0
1134874798,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231427.653Z,BUY,NL,N,N,37.30,EUR,0.2
1134874812,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231458.032Z,BUY,NL,N,N,37.34,EUR,2.0
1134874825,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231503.211Z,BUY,NL,N,N,37.34,EUR,1.0
1134874908,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231622.063Z,BUY,NL,N,N,37.50,EUR,3.0
1134874909,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231622.840Z,BUY,NL,N,N,37.50,EUR,5.0
1134874911,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231623.664Z,BUY,NL,N,N,37.50,EUR,5.0
1134874914,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231624.686Z,BUY,NL,N,N,37.50,EUR,5.0
1134874915,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231627.279Z,BUY,NL,N,N,37.50,EUR,5.0
1134874916,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231627.279Z,BUY,NL,N,N,37.50,EUR,4.2
1134874917,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231629.520Z,BUY,NL,N,N,37.53,EUR,0.2
1134874918,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T231631.718Z,BUY,NL,N,N,37.60,EUR,4.0
1134874991,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T231722.468Z,BUY,NL,N,N,37.51,EUR,1.3
1134875084,XBID_Hour_Power,20201031T030000Z,20201031T040000Z,N,20201030T231804.754Z,BUY,NL,Y,U,34.70,EUR,5.0
1134875169,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T232002.280Z,SELL,NL,N,N,37.30,EUR,0.1
1134875181,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232006.769Z,SELL,NL,N,N,38.04,EUR,5.0
1134875214,XBID_Hour_Power,20201031T040000Z,20201031T050000Z,N,20201030T232033.295Z,BUY,NL,N,N,33.50,EUR,0.6
1134875215,XBID_Hour_Power,20201031T040000Z,20201031T050000Z,N,20201030T232033.295Z,BUY,NL,N,N,33.53,EUR,2.0
1134875244,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232039.448Z,SELL,NL,N,N,38.19,EUR,5.0
1134875253,XBID_Hour_Power,20201031T050000Z,20201031T060000Z,N,20201030T232041.693Z,SELL,NL,Y,U,35.00,EUR,1.2
1134875334,XBID_Hour_Power,20201031T050000Z,20201031T060000Z,N,20201030T232106.318Z,SELL,NL,Y,U,35.00,EUR,1.2
1134875345,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T232110.251Z,BUY,NL,N,N,36.72,EUR,5.0
1134875350,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T232111.526Z,BUY,NL,N,N,36.70,EUR,5.0
1134875351,XBID_Hour_Power,20201031T020000Z,20201031T030000Z,N,20201030T232112.606Z,BUY,NL,N,N,36.70,EUR,0.5
1134875435,XBID_Hour_Power,20201031T040000Z,20201031T050000Z,N,20201030T232229.223Z,BUY,NL,N,N,33.53,EUR,22.4
1134875589,XBID_Hour_Power,20201031T050000Z,20201031T060000Z,N,20201030T232430.702Z,BUY,NL,N,N,35.00,EUR,4.0
1134875589,XBID_Hour_Power,20201031T050000Z,20201031T060000Z,N,20201030T232430.702Z,SELL,NL,N,N,35.00,EUR,4.0
1134875677,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T232608.412Z,BUY,NL,Y,U,39.24,EUR,5.0
1134875678,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T232608.412Z,BUY,NL,Y,U,39.26,EUR,2.7
1134875679,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T232608.412Z,BUY,NL,N,N,39.40,EUR,0.2
1134875680,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T232608.412Z,BUY,NL,Y,U,39.46,EUR,5.0
1134875681,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T232608.412Z,BUY,NL,Y,U,39.66,EUR,5.0
1134875682,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T232608.412Z,BUY,NL,Y,U,39.81,EUR,2.0
1134875683,XBID_Hour_Power,20201031T060000Z,20201031T070000Z,N,20201030T232608.412Z,BUY,NL,N,Y,39.82,EUR,5.1
1134875687,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,N,N,37.90,EUR,1.0
1134875688,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,N,N,37.99,EUR,1.0
1134875688,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,SELL,NL,N,N,37.99,EUR,1.0
1134875689,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,Y,U,38.00,EUR,0.8
1134875690,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,Y,U,38.00,EUR,2.5
1134875691,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,N,N,38.30,EUR,0.1
1134875692,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,N,N,38.39,EUR,5.0
1134875693,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,N,N,38.39,EUR,2.0
1134875694,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,N,N,38.40,EUR,2.0
1134875695,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,Y,U,38.40,EUR,5.0
1134875696,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,N,N,38.50,EUR,2.0
1134875697,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,Y,U,38.50,EUR,1.0
1134875698,XBID_Hour_Power,20201031T070000Z,20201031T080000Z,N,20201030T232612.961Z,BUY,NL,Y,U,38.53,EUR,2.0
1134875701,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T232618.179Z,BUY,NL,N,N,38.90,EUR,0.4
1134875702,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T232618.179Z,BUY,NL,N,N,39.11,EUR,0.1
1134875703,XBID_Hour_Power,20201031T080000Z,20201031T090000Z,N,20201030T232618.179Z,BUY,NL,N,N,39.18,EUR,0.2
