TradeID,Product,Delivery Start,Delivery End,isOTC,Execution time,Side,Market area,is Half Trade,Is Self Trade,Price,Currency,Quantity (MW)
1127172092,XBID_Hour_Power,20200921T000000Z,20200921T010000Z,N,20200920T220025.030Z,BUY,NL,N,N,30.66,EUR,1.0
1127172479,XBID_Hour_Power,20200921T000000Z,20200921T010000Z,N,20200920T220524.420Z,BUY,NL,N,N,30.40,EUR,0.5
1127172480,XBID_Hour_Power,20200921T000000Z,20200921T010000Z,N,20200920T220524.422Z,BUY,NL,N,N,30.40,EUR,0.4
1127172722,XBID_Hour_Power,20200921T010000Z,20200921T020000Z,N,20200920T220622.954Z,BUY,NL,Y,U,29.12,EUR,1.0
1127172825,XBID_Hour_Power,20200921T000000Z,20200921T010000Z,N,20200920T220634.705Z,BUY,NL,N,N,30.40,EUR,0.1
1127172834,XBID_Hour_Power,20200921T000000Z,20200921T010000Z,N,20200920T220635.112Z,BUY,NL,N,N,30.32,EUR,3.4
1127172835,XBID_Hour_Power,20200921T000000Z,20200921T010000Z,N,20200920T220635.112Z,BUY,NL,N,N,30.32,EUR,0.6
1127172837,XBID_Hour_Power,20200921T000000Z,20200921T010000Z,N,20200920T220635.273Z,BUY,NL,N,N,29.93,EUR,1.1
1127173405,XBID_Hour_Power,20200921T010000Z,20200921T020000Z,N,20200920T221149.404Z,BUY,NL,N,N,30.24,EUR,2.0
1127173471,XBID_Hour_Power,20200921T030000Z,20200921T040000Z,N,20200920T221204.621Z,BUY,NL,Y,U,36.25,EUR,1.0
1127173622,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221322.873Z,BUY,NL,N,N,64.79,EUR,5.0
1127173716,XBID_Hour_Power,20200921T030000Z,20200921T040000Z,N,20200920T221410.825Z,BUY,NL,N,N,36.25,EUR,1.0
1127174020,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221616.460Z,SELL,NL,N,N,64.79,EUR,1.7
1127174021,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221616.460Z,SELL,NL,N,N,64.70,EUR,0.3
1127174022,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221616.460Z,SELL,NL,N,N,64.70,EUR,0.3
1127174023,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221616.460Z,SELL,NL,N,N,64.50,EUR,2.0
1127174024,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221616.460Z,SELL,NL,N,N,64.42,EUR,0.1
1127174025,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221616.460Z,SELL,NL,Y,U,64.41,EUR,4.6
1127174026,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221619.057Z,SELL,NL,Y,U,64.41,EUR,5.0
1127174027,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221620.409Z,SELL,NL,Y,U,64.41,EUR,5.0
1127174045,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221628.905Z,SELL,NL,N,N,76.90,EUR,0.3
1127174046,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221628.905Z,SELL,NL,N,N,76.90,EUR,0.3
1127174047,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221628.905Z,SELL,NL,N,N,76.60,EUR,3.1
1127174048,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221628.905Z,SELL,NL,N,N,76.60,EUR,0.9
1127174051,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221630.869Z,SELL,NL,N,N,76.60,EUR,4.1
1127174062,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221632.839Z,SELL,NL,N,N,76.60,EUR,5.0
1127174063,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221634.224Z,SELL,NL,N,N,76.60,EUR,5.0
1127174068,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221635.738Z,SELL,NL,N,N,75.90,EUR,0.3
1127174069,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221635.738Z,SELL,NL,N,N,75.90,EUR,0.3
1127174070,XBID_Hour_Power,20200921T060000Z,20200921T070000Z,N,20200920T221635.738Z,SELL,NL,N,N,75.90,EUR,0.3
1127174105,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221705.136Z,BUY,NL,N,N,64.00,EUR,1.0
1127174106,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221705.136Z,BUY,NL,N,N,64.00,EUR,4.0
1127174107,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221705.136Z,BUY,NL,N,N,64.05,EUR,2.0
1127174108,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221705.136Z,BUY,NL,N,N,64.10,EUR,0.3
1127174109,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221705.136Z,BUY,NL,N,N,64.10,EUR,5.0
1127174110,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221705.136Z,BUY,NL,N,N,64.10,EUR,0.5
1127174111,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221705.553Z,BUY,NL,N,N,64.20,EUR,5.0
1127174112,XBID_Hour_Power,20200921T050000Z,20200921T060000Z,N,20200920T221705.553Z,BUY,NL,N,N,64.20,EUR,5.0
1127174147,XBID_Hour_Power,20200921T070000Z,20200921T080000Z,N,20200920T221735.741Z,SELL,NL,N,N,68.50,EUR,0.3
1127174148,XBID_Hour_Power,20200921T070000Z,20200921T080000Z,N,20200920T221735.741Z,SELL,NL,N,N,68.50,EUR,0.3
1127174149,XBID_Hour_Power,20200921T070000Z,20200921T080000Z,N,20200920T221735.741Z,SELL,NL,N,N,68.50,EUR,0.3
1127174150,XBID_Hour_Power,20200921T070000Z,20200921T080000Z,N,20200920T221735.741Z,SELL,NL,Y,U,68.01,EUR,1.8
