TradeID,Product,Delivery Start,Delivery End,isOTC,Execution time,Side,Market area,is Half Trade,Is Self Trade,Price,Currency,Quantity (MW)
1108028250,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220201.114Z,SELL,NL,Y,U,5.91,EUR,5.0
1108028251,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220201.114Z,SELL,NL,Y,U,5.91,EUR,5.0
1108028252,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220201.114Z,SELL,NL,Y,U,5.91,EUR,5.0
1108028254,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220206.143Z,SELL,NL,N,Y,5.91,EUR,5.0
1108028255,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220206.143Z,SELL,NL,N,Y,5.91,EUR,5.0
1108028256,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220206.143Z,SELL,NL,N,Y,5.91,EUR,5.0
1108028257,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220206.143Z,SELL,NL,N,Y,5.91,EUR,5.0
1108028258,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220206.143Z,SELL,NL,N,Y,5.91,EUR,5.0
1108028259,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220206.143Z,SELL,NL,N,Y,5.91,EUR,5.0
1108028260,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220206.143Z,SELL,NL,N,Y,5.91,EUR,5.0
1108028262,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220209.819Z,BUY,NL,Y,U,5.71,EUR,0.2
1108028270,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220214.527Z,SELL,NL,N,N,5.60,EUR,24.4
1108028272,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028273,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028274,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028275,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028276,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028277,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028278,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028279,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028280,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028281,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220222.301Z,SELL,NL,N,Y,5.65,EUR,5.0
1108028287,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220234.731Z,SELL,NL,N,Y,5.83,EUR,5.0
1108028288,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220234.731Z,SELL,NL,N,Y,5.83,EUR,5.0
1108028315,XBID_Hour_Power,20200525T050000Z,20200525T060000Z,N,20200524T220317.061Z,SELL,NL,Y,U,16.80,EUR,10.0
1108028448,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T220637.341Z,SELL,NL,Y,U,5.83,EUR,0.2
1108028711,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221051.400Z,BUY,NL,N,N,8.04,EUR,5.0
1108028713,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221051.400Z,BUY,NL,N,N,8.00,EUR,10.0
1108028727,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221105.911Z,BUY,NL,N,N,8.00,EUR,10.0
1108028729,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221108.047Z,BUY,NL,N,N,8.00,EUR,5.0
1108028742,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221145.041Z,BUY,NL,N,N,7.26,EUR,10.0
1108028743,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221145.041Z,BUY,NL,N,N,7.26,EUR,5.0
1108028744,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221145.041Z,BUY,NL,N,N,7.25,EUR,5.0
1108028745,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221145.041Z,BUY,NL,N,N,7.23,EUR,0.2
1108028746,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221145.041Z,BUY,NL,N,N,7.01,EUR,5.0
1108028762,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221159.649Z,BUY,NL,N,N,5.94,EUR,10.0
1108028763,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221159.649Z,BUY,NL,N,N,5.93,EUR,5.0
1108028774,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221207.237Z,BUY,NL,N,N,7.50,EUR,10.0
1108028778,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221217.240Z,BUY,NL,N,N,7.50,EUR,5.0
1108028892,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221236.820Z,BUY,NL,N,N,7.50,EUR,5.0
1108028892,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221236.820Z,SELL,NL,N,N,7.50,EUR,5.0
1108028893,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221236.820Z,BUY,NL,N,N,7.50,EUR,5.0
1108028893,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221236.820Z,SELL,NL,N,N,7.50,EUR,5.0
1108029174,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T221543.121Z,SELL,NL,N,N,5.90,EUR,5.0
1108029175,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T221544.727Z,SELL,NL,N,N,5.90,EUR,5.0
1108029241,XBID_Hour_Power,20200525T080000Z,20200525T090000Z,N,20200524T221704.446Z,SELL,NL,N,Y,17.50,EUR,58.1
1108029308,XBID_Hour_Power,20200525T030000Z,20200525T040000Z,N,20200524T221728.344Z,BUY,NL,N,N,5.21,EUR,0.2
1108029372,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221750.503Z,BUY,NL,N,N,7.01,EUR,10.0
1108029372,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221750.503Z,SELL,NL,N,N,7.01,EUR,10.0
1108029376,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221754.292Z,BUY,NL,N,N,7.00,EUR,10.0
1108029376,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221754.292Z,SELL,NL,N,N,7.00,EUR,10.0
1108029548,XBID_Hour_Power,20200525T090000Z,20200525T100000Z,N,20200524T221855.360Z,SELL,NL,N,Y,14.00,EUR,97.5
1108029567,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221908.632Z,BUY,NL,N,N,8.00,EUR,5.0
1108029567,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221908.632Z,SELL,NL,N,N,8.00,EUR,5.0
1108029605,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221945.666Z,BUY,NL,N,N,7.01,EUR,10.0
1108029605,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T221945.666Z,SELL,NL,N,N,7.01,EUR,10.0
1108029661,XBID_Hour_Power,20200525T110000Z,20200525T120000Z,N,20200524T222014.190Z,SELL,NL,N,Y,9.00,EUR,341.9
1108029726,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222037.817Z,BUY,NL,N,N,6.56,EUR,10.0
1108029726,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222037.817Z,SELL,NL,N,N,6.56,EUR,10.0
1108029757,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222113.907Z,BUY,NL,N,N,8.50,EUR,1.8
1108029757,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222113.907Z,SELL,NL,N,N,8.50,EUR,1.8
1108029772,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222125.396Z,SELL,NL,N,N,9.20,EUR,3.0
1108029773,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222125.396Z,SELL,NL,N,N,9.20,EUR,2.0
1108029784,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222135.693Z,BUY,NL,N,N,8.50,EUR,4.2
1108029784,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222135.693Z,SELL,NL,N,N,8.50,EUR,4.2
1108029785,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222135.693Z,BUY,NL,N,N,8.50,EUR,6.0
1108029785,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222135.693Z,SELL,NL,N,N,8.50,EUR,6.0
1108029786,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222135.693Z,BUY,NL,N,N,8.50,EUR,6.0
1108029786,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222135.693Z,SELL,NL,N,N,8.50,EUR,6.0
1108029787,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222135.693Z,BUY,NL,N,N,8.50,EUR,3.8
1108029787,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222135.693Z,SELL,NL,N,N,8.50,EUR,3.8
1108029800,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222141.574Z,BUY,NL,N,N,8.50,EUR,2.2
1108029800,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222141.574Z,SELL,NL,N,N,8.50,EUR,2.2
1108029801,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222141.574Z,BUY,NL,N,N,8.50,EUR,2.8
1108029801,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222141.574Z,SELL,NL,N,N,8.50,EUR,2.8
1108029820,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222150.380Z,SELL,NL,N,N,8.50,EUR,3.2
1108029821,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222150.380Z,SELL,NL,N,N,8.50,EUR,6.0
1108029822,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222150.380Z,SELL,NL,N,N,8.50,EUR,6.0
1108029823,XBID_Hour_Power,20200525T000000Z,20200525T010000Z,N,20200524T222150.380Z,SELL,NL,N,N,8.50,EUR,4.8
1108029824,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222153.639Z,SELL,NL,Y,U,8.00,EUR,5.0
1108029825,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222153.639Z,SELL,NL,Y,U,8.00,EUR,5.0
1108029826,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222153.639Z,BUY,NL,N,N,8.00,EUR,5.0
1108029826,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222153.639Z,SELL,NL,N,N,8.00,EUR,5.0
1108029827,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222153.639Z,BUY,NL,N,N,8.00,EUR,5.0
1108029827,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222153.639Z,SELL,NL,N,N,8.00,EUR,5.0
1108029828,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222153.639Z,BUY,NL,N,N,8.00,EUR,1.0
1108029828,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222153.639Z,SELL,NL,N,N,8.00,EUR,1.0
1108029986,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222349.127Z,SELL,NL,N,N,7.00,EUR,4.0
1108030039,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222357.026Z,SELL,NL,N,N,8.00,EUR,2.2
1108030040,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222357.026Z,SELL,NL,N,N,8.00,EUR,1.8
1108030041,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222357.026Z,SELL,NL,N,N,8.00,EUR,3.2
1108030042,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222357.026Z,SELL,NL,N,N,8.00,EUR,1.8
1108030043,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222357.026Z,SELL,NL,N,N,8.00,EUR,3.2
1108030044,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222357.026Z,SELL,NL,N,N,8.00,EUR,1.8
1108030045,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222357.026Z,SELL,NL,N,N,8.00,EUR,3.2
1108030046,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222357.026Z,SELL,NL,N,N,8.00,EUR,1.8
1108030047,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222357.026Z,SELL,NL,N,N,8.00,EUR,3.2
1108030061,XBID_Hour_Power,20200525T020000Z,20200525T030000Z,N,20200524T222409.376Z,SELL,NL,N,N,7.00,EUR,5.0
1108030187,Intraday_Hour_Power,20200524T230000Z,20200525T000000Z,N,20200524T222531.224Z,BUY,NL,N,N,6.60,EUR,3.0
1108030187,Intraday_Hour_Power,20200524T230000Z,20200525T000000Z,N,20200524T222531.224Z,SELL,NL,N,N,6.60,EUR,3.0
1108030188,Intraday_Hour_Power,20200524T230000Z,20200525T000000Z,N,20200524T222534.403Z,BUY,NL,N,N,6.60,EUR,5.0
1108030188,Intraday_Hour_Power,20200524T230000Z,20200525T000000Z,N,20200524T222534.403Z,SELL,NL,N,N,6.60,EUR,5.0
1108030192,Intraday_Hour_Power,20200524T230000Z,20200525T000000Z,N,20200524T222537.114Z,BUY,NL,N,N,6.60,EUR,2.0
1108030192,Intraday_Hour_Power,20200524T230000Z,20200525T000000Z,N,20200524T222537.114Z,SELL,NL,N,N,6.60,EUR,2.0
1108030211,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222601.185Z,SELL,NL,N,N,7.00,EUR,5.0
1108030249,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222629.792Z,SELL,NL,N,N,8.00,EUR,1.8
1108030263,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222646.688Z,BUY,NL,N,N,8.00,EUR,2.2
1108030264,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222646.688Z,BUY,NL,N,N,8.00,EUR,1.4
1108030264,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222646.688Z,SELL,NL,N,N,8.00,EUR,1.4
1108030265,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222646.691Z,BUY,NL,N,N,8.00,EUR,3.6
1108030265,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222646.691Z,SELL,NL,N,N,8.00,EUR,3.6
1108030266,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222646.809Z,BUY,NL,N,N,8.00,EUR,3.3
1108030266,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222646.809Z,SELL,NL,N,N,8.00,EUR,3.3
1108030267,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222647.159Z,BUY,NL,N,N,8.00,EUR,1.7
1108030267,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222647.159Z,SELL,NL,N,N,8.00,EUR,1.7
1108030268,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222647.251Z,BUY,NL,N,N,8.00,EUR,2.3
1108030268,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222647.251Z,SELL,NL,N,N,8.00,EUR,2.3
1108030269,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222647.579Z,BUY,NL,N,N,8.00,EUR,2.7
1108030269,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222647.579Z,SELL,NL,N,N,8.00,EUR,2.7
1108030270,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222647.636Z,BUY,NL,N,N,8.00,EUR,3.2
1108030270,XBID_Hour_Power,20200525T010000Z,20200525T020000Z,N,20200524T222647.636Z,SELL,NL,N,N,8.00,EUR,3.2
