TradeID,Product,Delivery Start,Delivery End,isOTC,Execution time,Side,Market area,is Half Trade,Is Self Trade,Price,Currency,Quantity (MW)
1087497274,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T231032.087Z,BUY,NL,Y,U,27.07,EUR,0.3
1087497275,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T231032.087Z,BUY,NL,Y,U,27.08,EUR,5.0
1087497276,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T231032.087Z,BUY,NL,Y,U,27.08,EUR,5.0
1087497277,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T231032.087Z,BUY,NL,N,N,27.15,EUR,5.0
1087497278,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T231032.087Z,BUY,NL,N,N,27.15,EUR,0.3
1087497279,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T231032.087Z,BUY,NL,Y,U,27.20,EUR,5.0
1087497280,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T231032.087Z,BUY,NL,N,N,27.50,EUR,1.0
1087497281,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T231032.087Z,BUY,NL,N,N,27.50,EUR,0.5
1087497935,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497936,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497937,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497938,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497939,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497940,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497941,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497942,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497943,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497944,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232003.616Z,BUY,NL,Y,U,36.08,EUR,5.0
1087497964,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T232022.143Z,BUY,NL,N,N,27.88,EUR,5.0
1087497973,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T232022.862Z,BUY,NL,Y,U,27.88,EUR,0.8
1087497979,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T232024.855Z,BUY,NL,Y,U,27.88,EUR,0.6
1087497989,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T232026.884Z,BUY,NL,Y,U,27.88,EUR,0.2
1087498097,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232235.644Z,BUY,NL,Y,U,36.08,EUR,5.0
1087498098,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232235.644Z,BUY,NL,Y,U,36.08,EUR,5.0
1087498099,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232235.644Z,BUY,NL,Y,U,36.08,EUR,5.0
1087498100,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232235.644Z,BUY,NL,Y,U,36.08,EUR,5.0
1087498101,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T232235.644Z,BUY,NL,Y,U,36.08,EUR,5.0
1087498542,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T232856.780Z,BUY,NL,Y,U,27.98,EUR,5.0
1087498543,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T232856.780Z,BUY,NL,Y,U,27.98,EUR,1.0
1087498669,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T233114.836Z,BUY,NL,Y,U,28.18,EUR,5.0
1087498670,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T233114.836Z,BUY,NL,Y,U,28.18,EUR,5.0
1087498671,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T233114.836Z,BUY,NL,Y,U,28.18,EUR,5.0
1087498672,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T233114.836Z,BUY,NL,Y,U,28.18,EUR,5.0
1087498698,XBID_Hour_Power,20191227T070000Z,20191227T080000Z,N,20191226T233138.177Z,BUY,NL,N,N,35.65,EUR,5.0
1087498996,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T233624.319Z,BUY,NL,N,N,28.18,EUR,2.1
1087498997,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T233624.321Z,BUY,NL,N,N,28.18,EUR,2.1
1087499135,XBID_Hour_Power,20191227T040000Z,20191227T050000Z,N,20191226T233757.028Z,BUY,NL,N,N,28.18,EUR,0.8
